OBJECTID;NOM_ARRET;LIGNE;DIRECTION;NUMERIQUE_ARRET;LETTRE_DE_QUAI;SLOID;ORIENTATION_COMPASS;E;N
13;Genève, Alpes;01,25;01,25 (01 (Thônex, Hôpital Trois-Chêne),25 (Thônex, Vallard));ALPE00;O;ch:1:sloid:92777:0:962138;229;2500329.39;1118331.24
14;Genève, Gautier;01,25;01,25 (01 (Thônex, Hôpital Trois-Chêne),25 (Thônex, Vallard));GAUT01;R;ch:1:sloid:92830:0:719416;201;2500587.84;1118817.3
15;Genève, Terrassière;01,25;01,25 (01 (Thônex, Hôpital Trois-Chêne),25 (Genève, Jardin Botanique));TRSI03;W;ch:1:sloid:92910:0:841958;344;2500977.55;1117423.58
16;Genève, Navigation;01,25;01,25 (01 (Thônex, Hôpital Trois-Chêne),25 (Thônex, Vallard));NAVI01;N;ch:1:sloid:92871:0:800173;206;2500513.47;1118638.33
17;Genève, Navigation;01,25;01,25 (01 (Genève, Jardin Botanique),25 (Genève, Jardin Botanique));NAVI00;M;ch:1:sloid:92871:0:171692;25;2500527.89;1118652.38
18;Genève, Gautier;01,25;01,25 (01 (Genève, Jardin Botanique),25 (Genève, Jardin Botanique));GAUT00;Q;ch:1:sloid:92830:0:50824;21;2500603.08;1118832.34
19;Genève, Terrassière;01,25;01,25 (01 (Genève, Jardin Botanique),25 (Thônex, Vallard));TRSI02;V;ch:1:sloid:92910:0:735349;196;2500935.41;1117398.12
20;Genève, Perle du Lac;01,25,29;01,25,29 (01 (Genève, Jardin Botanique),25 (Genève, Jardin Botanique),29 (Creux-de-Genthod, gare));SECH01;Z;ch:1:sloid:92902:0:928729;19;2500569.7;1119600.88
21;Genève, De-Chateaubriand;01,25,29;01,25,29 (01 (Thônex, Hôpital Trois-Chêne),25 (Thônex, Vallard),29 (Collonge-Bellerive, Bois-Caran));CBRI01;F;ch:1:sloid:92803:0:348962;150;2500633.78;1119190.82
22;Genève, Perle du Lac;01,25,29;01,25,29 (01 (Thônex, Hôpital Trois-Chêne),25 (Thônex, Vallard),29 (Collonge-Bellerive, Bois-Caran));SECH00;Y;ch:1:sloid:92902:0:242892;198;2500545.32;1119587.27
23;Genève, De-Chateaubriand;01,25,29;01,25,29 (01 (Genève, Jardin Botanique),25 (Genève, Jardin Botanique),29 (Creux-de-Genthod, gare));CBRI00;E;ch:1:sloid:92803:0:32475;334;2500654.58;1119186.11
24;Thônex, Jumelles;01,31;01,31 (01 (Genève, Jardin Botanique),31 (Puplinge, Marquis));JMEL01;E;ch:1:sloid:93114:0:964217;136;2505825.61;1118078.09
25;Thônex, Jumelles;01,31;01,31 (01 (Thônex, Hôpital Trois-Chêne),31 (Thônex, Sous-Moulin));JMEL00;D;ch:1:sloid:93114:0:209182;315;2505809.48;1118110.83
26;Genève, Ecole-de-Médecine;01,91;01,91 (01 (Thônex, Hôpital Trois-Chêne),91 (Genève, Beau-Séjour));EMED00;L;ch:1:sloid:92819:0:982862;147;2499702.62;1117069.11
27;Genève, Cirque;01,91;01,91 (01 (Thônex, Hôpital Trois-Chêne),91 (Genève, Beau-Séjour));CIRQ00;R;ch:1:sloid:92804:0:679730;194;2499759.69;1117420.19
28;Onex, Gros-Chêne;02;02 (02 (Genève, Plage));GCHN03;X;ch:1:sloid:93035:0:448444;338;2496908.01;1116296.41
29;Onex, Gros-Chêne;02;02 (02 (Confignon, Cressy));GCHN02;W;ch:1:sloid:93035:0:134433;153;2496912.69;1116271.17
30;Onex, Duret;02;02 (02 (Confignon, Cressy));VDUR00;Q;ch:1:sloid:93043:0:370820;243;2496984.35;1115954.12
